lecture,slide_id,concept_disagreement,triple_disagreement
Lecture 4,Slide22,4,0
Lecture 4,Slide23,9,1
Lecture 4,Slide24,13,3
Lecture 4,Slide25,4,0
Lecture 4,Slide26,11,3
Lecture 4,Slide27,4,3
Lecture 4,Slide28,4,2
Lecture 4,Slide29,8,0
Lecture 4,Slide3,5,0
Lecture 4,Slide30,9,2
Lecture 4,Slide31,14,0
Lecture 4,Slide32,9,3
Lecture 4,Slide33,10,2
Lecture 4,Slide34,4,0
Lecture 4,Slide35,11,1
Lecture 4,Slide36,9,0
Lecture 4,Slide37,3,0
Lecture 4,Slide38,11,0
Lecture 4,Slide39,11,1
Lecture 4,Slide4,8,0
Lecture 4,Slide40,9,2
Lecture 4,Slide41,17,3
Lecture 4,Slide42,13,2
Lecture 4,Slide43,6,0
Lecture 4,Slide44,7,0
Lecture 4,Slide45,4,0
Lecture 4,Slide46,4,0
Lecture 4,Slide47,15,1
Lecture 4,Slide48,20,2
Lecture 4,Slide49,14,1
Lecture 4,Slide5,14,2
Lecture 4,Slide6,6,3
Lecture 4,Slide7,19,4
Lecture 4,Slide8,13,4
Lecture 4,Slide9,10,2
Lecture 5,Slide1,11,0
Lecture 5,Slide10,3,1
Lecture 5,Slide11,3,0
Lecture 5,Slide12,3,0
Lecture 5,Slide13,2,1
Lecture 5,Slide14,3,1
Lecture 5,Slide15,3,2
Lecture 5,Slide16,3,1
Lecture 5,Slide17,3,1
Lecture 5,Slide18,2,2
Lecture 5,Slide19,3,0
Lecture 5,Slide2,7,2
Lecture 5,Slide20,3,0
Lecture 5,Slide21,3,2
Lecture 5,Slide22,3,0
Lecture 5,Slide23,8,0
Lecture 5,Slide24,3,0
Lecture 5,Slide25,3,0
Lecture 5,Slide26,3,2
Lecture 5,Slide27,3,0
Lecture 5,Slide28,3,1
Lecture 5,Slide29,3,0
Lecture 5,Slide3,2,1
Lecture 5,Slide30,9,0
Lecture 5,Slide31,3,0
Lecture 5,Slide32,3,2
Lecture 5,Slide33,3,1
Lecture 5,Slide34,3,0
Lecture 5,Slide35,3,0
Lecture 5,Slide36,3,0
Lecture 5,Slide37,2,0
Lecture 5,Slide38,3,0
Lecture 5,Slide39,3,0
Lecture 5,Slide4,3,0
Lecture 5,Slide40,3,0
Lecture 5,Slide41,3,0
Lecture 5,Slide42,3,0
Lecture 5,Slide43,2,0
Lecture 5,Slide44,3,0
Lecture 5,Slide45,8,0
Lecture 5,Slide46,3,0
Lecture 5,Slide47,3,0
Lecture 5,Slide48,3,0
Lecture 5,Slide49,3,0
Lecture 5,Slide5,3,0
Lecture 5,Slide50,11,0
Lecture 5,Slide6,3,0
Lecture 5,Slide7,2,0
Lecture 5,Slide8,3,0
Lecture 5,Slide9,2,0
Lecture 6,Slide1,9,1
Lecture 6,Slide10,11,2
Lecture 6,Slide11,3,0
Lecture 6,Slide12,3,0
Lecture 6,Slide13,3,2
Lecture 6,Slide14,3,6
Lecture 6,Slide15,7,2
Lecture 6,Slide16,3,0
Lecture 6,Slide17,3,0
Lecture 6,Slide18,9,3
Lecture 6,Slide19,9,2
Lecture 6,Slide2,1,0
Lecture 6,Slide20,5,0
Lecture 6,Slide21,10,0
Lecture 6,Slide22,13,0
Lecture 6,Slide23,5,1
Lecture 6,Slide24,9,2
Lecture 6,Slide25,3,3
Lecture 6,Slide26,9,0
Lecture 6,Slide27,8,3
Lecture 6,Slide28,8,0
Lecture 6,Slide29,12,1
Lecture 6,Slide3,12,2
Lecture 6,Slide30,3,3
Lecture 6,Slide31,8,0
Lecture 6,Slide32,3,0
Lecture 6,Slide33,3,0
Lecture 6,Slide34,3,3
Lecture 6,Slide35,3,0
Lecture 6,Slide36,3,2
Lecture 6,Slide37,3,2
Lecture 6,Slide38,11,0
Lecture 6,Slide39,3,2
Lecture 6,Slide4,14,4
Lecture 6,Slide40,3,5
Lecture 6,Slide41,14,3
Lecture 6,Slide42,7,1
Lecture 6,Slide5,3,3
Lecture 6,Slide6,11,0
Lecture 6,Slide7,3,3
Lecture 6,Slide8,11,2
Lecture 6,Slide9,9,0
Lecture 7,Slide1,13,0
Lecture 7,Slide10,4,0
Lecture 7,Slide11,7,1
Lecture 7,Slide12,10,0
Lecture 7,Slide13,12,0
Lecture 7,Slide14,4,1
Lecture 7,Slide15,12,0
Lecture 7,Slide16,12,2
Lecture 7,Slide17,6,3
Lecture 7,Slide18,4,1
Lecture 7,Slide19,10,0
Lecture 7,Slide2,5,1
Lecture 7,Slide20,10,0
Lecture 7,Slide21,15,0
Lecture 7,Slide22,12,0
Lecture 7,Slide23,10,0
Lecture 7,Slide24,14,2
Lecture 7,Slide25,3,1
Lecture 7,Slide26,13,2
Lecture 7,Slide27,4,2
Lecture 7,Slide28,3,0
Lecture 7,Slide29,4,0
Lecture 7,Slide3,11,1
Lecture 7,Slide30,4,0
Lecture 7,Slide31,12,0
Lecture 7,Slide32,3,0
Lecture 7,Slide33,4,3
Lecture 7,Slide34,11,0
Lecture 7,Slide35,14,0
Lecture 7,Slide36,4,3
Lecture 7,Slide37,4,1
Lecture 7,Slide38,10,0
Lecture 7,Slide39,12,0
Lecture 7,Slide4,3,2
Lecture 7,Slide40,4,0
Lecture 7,Slide41,15,0
Lecture 7,Slide42,11,1
Lecture 7,Slide43,13,3
Lecture 7,Slide44,14,0
Lecture 7,Slide45,4,3
Lecture 7,Slide46,4,1
Lecture 7,Slide47,2,2
Lecture 7,Slide5,12,0
Lecture 7,Slide6,9,0
Lecture 7,Slide7,15,0
Lecture 7,Slide8,10,0
Lecture 7,Slide9,13,0
Lecture 8,Slide1,12,0
Lecture 8,Slide10,4,0
Lecture 8,Slide11,14,0
Lecture 8,Slide12,9,1
Lecture 8,Slide13,12,1
Lecture 8,Slide14,4,0
Lecture 8,Slide15,12,0
Lecture 8,Slide16,4,1
Lecture 8,Slide17,4,4
Lecture 8,Slide18,3,1
Lecture 8,Slide19,10,3
Lecture 8,Slide2,4,0
Lecture 8,Slide20,13,0
Lecture 8,Slide21,4,0
Lecture 8,Slide22,12,0
Lecture 8,Slide23,4,0
Lecture 8,Slide24,12,1
Lecture 8,Slide25,4,0
Lecture 8,Slide26,3,0
Lecture 8,Slide27,2,3
Lecture 8,Slide28,4,0
Lecture 8,Slide29,3,0
Lecture 8,Slide3,4,0
Lecture 8,Slide30,4,0
Lecture 8,Slide31,15,2
Lecture 8,Slide32,9,0
Lecture 8,Slide33,8,0
Lecture 8,Slide34,7,3
Lecture 8,Slide35,10,0
Lecture 8,Slide36,8,0
Lecture 8,Slide37,13,0
Lecture 8,Slide38,14,2
Lecture 8,Slide39,9,1
Lecture 8,Slide4,9,1
Lecture 8,Slide40,4,0
Lecture 8,Slide41,11,1
Lecture 8,Slide42,9,1
Lecture 8,Slide43,8,2
Lecture 8,Slide5,10,0
Lecture 8,Slide6,10,1
Lecture 8,Slide7,11,0
Lecture 8,Slide8,12,0
Lecture 8,Slide9,12,0
Lecture 9,Slide1,10,1
Lecture 9,Slide10,11,0
Lecture 9,Slide11,9,0
Lecture 9,Slide12,13,2
Lecture 9,Slide13,8,2
Lecture 9,Slide14,11,3
Lecture 9,Slide15,15,3
Lecture 9,Slide16,9,1
Lecture 9,Slide17,4,2
Lecture 9,Slide18,10,1
Lecture 9,Slide19,11,2
Lecture 9,Slide2,4,0
Lecture 9,Slide20,11,2
Lecture 9,Slide21,11,0
Lecture 9,Slide22,10,1
Lecture 9,Slide23,17,2
Lecture 9,Slide24,3,3
Lecture 9,Slide25,12,5
Lecture 9,Slide26,11,1
Lecture 9,Slide27,8,1
Lecture 9,Slide28,4,0
Lecture 9,Slide29,13,1
Lecture 9,Slide3,3,1
Lecture 9,Slide4,13,0
Lecture 9,Slide5,9,1
Lecture 9,Slide6,4,0
Lecture 9,Slide7,12,1
Lecture 9,Slide8,9,3
Lecture 9,Slide9,11,3
